PromotionID,EmployeeID,OldRole,NewRole,DateOfPromotion
1,1001,Junior,Lead,28-07-2020
2,1750,Mid,Lead,18-05-2024
3,1216,Junior,Lead,06-11-2022
4,1110,Senior,Lead,16-04-2020
5,417,Senior,Mid,09-04-2024
6,1799,Mid,Lead,01-02-2020
7,720,Junior,Senior,24-08-2020
8,872,Junior,Mid,05-04-2020
9,538,Mid,Lead,04-06-2024
10,347,Junior,Lead,14-05-2022
11,1838,Mid,Senior,17-07-2023
12,302,Senior,Lead,11-07-2021
13,1739,Junior,Lead,21-04-2020
14,1428,Mid,Lead,09-06-2022
15,1032,Junior,Senior,21-01-2021
16,1037,Mid,Lead,19-04-2024
17,1427,Junior,Senior,09-10-2024
18,836,Junior,Lead,16-10-2020
19,513,Junior,Senior,14-08-2023
20,413,Mid,Lead,10-12-2021
21,1220,Senior,Lead,27-03-2023
22,358,Mid,Lead,04-11-2022
23,278,Junior,Mid,18-08-2022
24,1007,Mid,Senior,04-01-2024
25,1804,Junior,Mid,14-11-2023
26,992,Mid,Senior,11-06-2022
27,539,Junior,Lead,13-06-2024
28,855,Junior,Senior,11-05-2022
29,621,Senior,Lead,30-08-2024
30,1207,Junior,Lead,03-12-2024
31,1242,Mid,Lead,09-10-2021
32,645,Junior,Lead,12-06-2024
33,995,Junior,Senior,03-03-2022
34,1606,Mid,Senior,20-11-2024
35,518,Junior,Mid,14-07-2024
36,284,Junior,Lead,30-03-2020
37,585,Senior,Lead,05-09-2024
38,374,Mid,Senior,20-05-2024
39,234,Junior,Lead,07-03-2023
40,234,Junior,Senior,14-02-2023
41,352,Junior,Mid,10-09-2022
42,1026,Senior,Lead,02-04-2022
43,37,Junior,Mid,19-01-2020
44,1157,Junior,Lead,27-06-2024
45,1019,Mid,Lead,18-08-2021
46,1262,Junior,Lead,02-07-2023
47,673,Mid,Senior,06-03-2022
48,503,Junior,Lead,01-07-2024
49,77,Mid,Senior,30-04-2021
50,222,Junior,Senior,04-03-2023
51,512,Junior,Senior,16-11-2020
